,in,my,ph,sg,th,vn
2010/03/31,5.5,5.3,3.8,6.3,4,6.5
2010/06/30,,,,,,
2010/09/30,6.1,6.8,6.2,14,7,6.7
2010/12/31,,,,,,
2011/03/31,6.4,5.3,5,5.5,4.5,6.1
2011/06/30,,,,,,
2011/09/30,6.6,4.8,4.7,5.5,4,5.8
2011/12/31,,,,,,
2012/03/31,6.4,4,4.8,2.8,5.5,5.7
2012/06/30,,,,,,
2012/09/30,6.3,4.6,5.5,2.2,5.2,5.1
2012/12/31,,,,,,
2013/03/31,6.4,5.3,6,2.6,4.9,5.2
2013/06/30,,,,,,
2013/09/30,5.7,4.3,7,2.6,3.8,5.2
2013/12/31,,,,,,
2014/03/31,5.7,5.1,6.4,3.9,2.9,5.6
2014/06/30,,,,,,
2014/09/30,5.3,5.7,6.2,3.5,1.6,5.5
2014/12/31,5.1,5.7,6,3.2,1,5.6
2015/03/31,5.5,4.7,6.4,3,3.6,6.1
2015/06/30,5,4.7,6.4,2.8,3.2,6.1
2015/09/30,4.9,4.7,6,2.1,2.7,6.5
2015/12/31,4.8,4.7,5.9,2,2.7,6.5
2016/03/31,5.2,4.2,6,2,3,6.7
2016/06/30,5.2,4.2,6,2,3,6.3
2016/09/30,5,4.1,6.4,1.8,3.2,6
2016/12/31,5,4.2,6.8,1.6,3.2,6
2017/03/31,5.1,4.4,6.4,2.2,3.5,6.5
2017/06/30,5.1,4.7,6.5,2.4,3.5,6.5
2017/09/30,5.1,5.4,6.5,2.7,3.5,6.3
2017/12/31,5.1,5.8,6.7,3.2,3.8,6.7
2018/03/31,5.3,5.3,6.8,3.1,4,7.1
2018/06/30,5.2,5.3,6.8,3.1,4.2,7.1
2018/09/30,5.2,5,6.4,3.1,4.5,6.9
2018/12/31,5.2,4.7,6.4,3.3,4.3,6.9
2019/03/31,5.2,4.5,6.4,2.6,3.9,6.8
2019/06/30,5.2,4.5,6.2,2.4,3.5,6.8
2019/09/30,5.1,4.5,6,0.7,3,6.8
2019/12/31,5.1,4.5,6,0.6,2.6,6.9
2020/03/31,2.5,0.5,2,0.2,-4.8,4.8
2020/06/30,-1,-4,-3.8,-6,-6.5,4.1
2020/09/30,-1,-5,-7.3,-6.2,-8,1.8
2020/12/31,-2.2,-6,-8.5,-6.2,-7.8,2.3
2021/03/31,4.5,6,4.5,6,3,6.7
2021/06/30,4.1,5.5,4.5,6.3,2,5.8
2021/09/30,3.5,4.7,4.5,6.5,0.8,3.8
2021/12/31,3.5,3.8,5.1,6.9,1,2
2022/03/31,5,6,6,4.3,3,6.5
2022/06/30,5.2,5.8,6.5,3.9,2.9,6.5
2022/09/30,5.4,6,6.5,3.7,2.9,6.5
2022/12/31,5.4,7.3,7.4,3.3,3.2,7.5
