date,IPI_YoY,PPI_YoY,CPI_YoY,m1_usd,m1_YoY,tdr_php360,tbill_usd90,phpusd,phpusd_YoY,exports_YoY,imports_YoY,govtexp_YoY
01/2002,-8.33333333,0,3.26223338,7387.709792,,8.057,1.73,51.4097,0.864049536,-8.91522967,-26.56971842,9.78537106
02/2002,-5.54414784,0,2.87859825,7521.56677,,7.285,1.76,51.2817,6.195938264,-6.33051426,2.49225522,42.7369674
03/2002,-11.24880839,0.17985612,3.25406758,7874.135499,,6.179,1.76,51.0661,5.361965696,-0.71711707,13.11421562,2.93472919
04/2002,12.26096738,0.62893082,3.37922403,8227.820545,,4.507,1.74,50.9872,1.597675818,22.4032145,24.99732685,35.874934
05/2002,4.27528676,0.35746202,3.24594257,8387.870749,,4.197,1.71,49.8383,-1.386258902,12.2342837,12.33589981,-3.08346548
06/2002,-1.19641077,3.28305235,2.60223048,8312.812671,,3.723,1.68,50.4065,-2.100679575,13.89545471,17.37879314,-3.20332738
07/2002,1.17647059,1.49384886,2.46305419,8152.481858,,4,1.68,50.5963,-4.937415687,24.21695325,22.52313838,5.93863135
08/2002,-5.0295858,2.54163015,2.70602706,8079.764554,,3.956,1.66,51.7931,-0.37431931,15.69796972,33.29279969,1.11101391
09/2002,4.39223698,3.0647986,2.45398773,8120.231078,,4.034,1.54,52.1292,1.715710665,16.85721614,28.50730632,8.18915232
10/2002,5.71142285,3.76532399,2.32843137,8201.4897,,3.984,1.42,52.907,2.268751462,3.14251303,27.74303146,-1.55678918
11/2002,5.06585613,4.21792619,2.07823961,8375.985173,,4.157,1.2,53.3082,2.535684816,18.00479014,55.02127996,6.16033262
12/2002,5.81395349,4.59770115,2.07317073,9182.094752,,4.309,1.2,53.5195,3.341642707,10.14084242,24.40805916,18.66186737
01/2003,5.63866513,8.64864865,1.94410693,8601.695596,,4.202,1.16,53.5635,4.189481751,3.85993556,41.1854219,-0.02183347
02/2003,-0.2173913,11.45175834,2.31143552,8472.979993,14.6902116,4.281,1.18,54.0748,5.446582309,6.11760212,18.76847421,-0.90709802
03/2003,9.23737916,11.40035907,2.06060606,8679.719039,15.39775295,4.002,1.12,54.5909,6.902426463,9.82496623,7.52341628,4.2692745
04/2003,-6.41282565,9.64285714,2.17917676,8903.208663,13.06903042,4.777,1.11,52.8068,3.568738821,-0.82181808,-11.5562357,-9.92485957
05/2003,-1.1,9.88423865,2.17654172,8746.595893,6.305136885,5.365,1.09,52.5072,5.355118453,-3.09789919,9.30002192,-11.6218693
06/2003,0.60544904,4.5532646,2.77777778,8806.181168,4.987087087,5.338,0.89,53.3992,5.937131124,4.224839,-5.30549343,-9.03416368
07/2003,4.86257928,8.48484848,2.28365385,8401.46169,1.066414251,5.158,0.94,53.7138,6.161517739,-6.61695973,-0.81442054,7.72863082
08/2003,2.80373832,6.32478632,2.15568862,8391.039216,2.926193056,5.376,0.96,54.9914,6.175146882,-0.95510859,-12.88091527,4.9062959
09/2003,-6.45792564,9.43075616,2.15568862,8462.325249,4.734800036,5.282,0.93,55.0235,5.55216654,5.09361267,-7.66689261,5.97588088
10/2003,-7.77251185,8.27004219,2.2754491,8534.091669,5.096660268,5.309,0.94,54.952,3.865273026,10.11278336,4.74427436,15.28348387
11/2003,-7.71456123,7.58853288,2.39520958,8783.526856,7.09672483,5.375,0.91,55.3718,3.871074244,-0.57330587,3.1789275,-5.63118136
