date,DEF_YoY,DEF,GDPG_YoY,GDPG_QoQ_SA,HouseCons,HouseCons_YoY,GovtCons,GovtCons_YoY,GCF,GCF_YoY,GFCF,GFCF_YoY,NetExport_YoY,Unemp,NetMerchExp,NetMerchExp_YoY
03/2000,5.60590438,51.4363794,4.56405663,1.58813579,1238391.194,4.955015218,196144.2225,-6.898423011,166150.5105,21.65053567,172882.85,,,9.5,18440.40787,
06/2000,5.7530356,52.30302363,5.83430661,0.29148716,1339474.592,4.049575746,224339.2697,0.466222164,129081.611,-9.804402524,171823.4484,,,13.9,27168.00729,
09/2000,5.4366597,53.44782021,4.23345683,1.72158233,1313248.231,6.152499951,212407.4038,2.432164335,134397.3409,8.273898278,178842.2074,,,11.2,39778.97555,
12/2000,6.00169102,54.35008167,3.06727416,-0.46269839,1465297.765,5.275214547,195842.378,0.2782326,150308.7178,8.801840383,192637.8327,,,10.1,66905.48452,
03/2001,6.31630538,54.6852582,2.41413663,0.84349167,1293275.015,4.179241961,197424.1365,0.602575052,149171.909,-12.63313792,182009.0852,5.102953791,-172.3955701,11.3,22956.54264,11.35306956
06/2001,5.98415715,55.43291876,3.26818469,1.13000564,1360269.5,1.419159172,227298.3748,1.510962597,210326.3953,54.05194423,182548.4327,5.567434059,-922.3595196,13.3,-47499.69317,-111.6017633
09/2001,5.80679887,56.55142763,3.11044667,1.60447651,1372738.835,4.599996361,206385.8594,-3.050054801,204707.6292,47.13373228,178240.6329,-0.330518965,-239.1821217,10.1,-25042.24342,-282.3649014
12/2001,4.53829966,56.81665124,3.34857026,-0.32310174,1541293.421,5.586808804,186651.6681,-4.043456073,198223.5237,22.78116631,194140.0636,0.822921849,-157.2318875,9.8,14344.10369,110.6562534
03/2002,4.65251955,57.22950053,3.87654129,1.15909283,1339317.281,3.35404413,185698.4069,-5.681459811,196364.9395,23.05386988,184483.529,1.388260201,-228.0114828,10.3,6159.422673,67.07514051
06/2002,4.63131474,58.0001917,3.6601826,0.91984272,1446343.981,5.584561629,220816.3813,-3.472775558,218962.1916,4.356595064,206215.1602,12.1905428,-10.46885062,13.9,-40705.24907,47.36750552
09/2002,3.54171614,58.55431867,2.67696315,0.74984789,1458722.219,6.419941406,204648.3224,-0.935676854,211645.693,3.533249791,192603.6933,7.785551632,44.97767793,11.2,-31277.76931,-101.2355575
12/2002,4.13550751,59.16630812,4.56511742,1.8248072,1607138.701,4.552532505,176674.0979,-4.518491835,263114.166,29.6355466,214758.3943,9.99845534,205.2199584,10.2,-40070.78836,133.6802828
03/2003,3.63364639,59.30901821,4.61847831,0.81391772,1429858.209,6.206865628,193910.2213,4.012646828,250364.4752,25.51411982,216457.1962,16.60075497,668.6011815,10.6,-34704.0797,130.6471123
06/2003,2.34171081,59.35838846,4.38897416,0.7492102,1515315.155,4.291550825,217669.0559,-1.781429959,222700.7266,1.420879406,220358.0305,6.585479616,-10.17458375,12.2,-48135.92923,18.54388314
09/2003,3.07107561,60.35256607,5.52190865,2.33698404,1523863.197,4.555764855,219996.6814,7.915188207,183344.6452,-11.30393909,211563.3191,8.759064706,-86.968156,12.6,-5151.033487,-75.28433557
12/2003,3.65848713,61.33089989,5.73662103,2.06672881,1697271.789,5.948141401,189451.8807,5.870279869,264918.5875,0.810245011,230468.0155,7.129134872,-50.11197488,10.2,4774.309227,-93.16346086
03/2004,4.61583636,62.04662544,7.17626299,1.78152937,1523683.171,6.157046257,207095.2646,5.993291922,287709.4915,20.36875216,223418.8062,3.290556256,-12.63986247,11,-44423.9894,188.6982432
06/2004,5.90578528,62.86396743,7.49290746,0.71147865,1582890.891,3.981432841,221251.1775,1.890781719,286485.297,24.0770461,258352.1185,16.48562292,35.31335455,13.7,-54517.68587,-133.6686907
09/2004,6.14327094,64.06018772,6.25324819,1.72036198,1612650.131,5.827125712,217023.5839,-1.435618282,231114.8952,16.60364063,234499.3503,10.2659358,392.2414827,11.7,-18136.2739,29.2302438
12/2004,6.76130475,65.47766894,5.50630906,1.30920291,1811167.192,7.195404566,193032.281,1.618251422,298389.2876,11.6832174,271026.4953,15.69891513,33.7120668,10.9,-11476.90005,29.80905924
03/2005,5.40114467,65.39785344,5.02058018,1.32624044,1598765.207,4.655816831,210418.4473,1.531254148,279083.4243,-3.732371816,230416.3853,2.984050511,-31.28856124,11.3,-42907.62636,-8.360940335
06/2005,5.55744183,66.35759585,5.65773098,0.69353357,1678552.903,5.281788034,250907.0181,15.36315089,264507.0683,-7.365622558,294124.3832,13.19880725,-29.87499907,8.3,-91344.17867,320.8749108
09/2005,6.38784898,68.15225577,4.37952201,1.45454884,1671508.216,3.681471473,210662.4112,-3.023105982,258960.0547,9.977360526,256963.3092,9.749288798,-52.51024771,7.7,-84223.85264,154.0229194
12/2005,6.246602,69.56779832,4.72440054,0.96023595,1871806.186,3.612575677,191371.2954,-0.661992503,296083.4506,-0.871748746,294347.6807,7.929021446,-135.3291043,7.4,-37986.07153,29.02119419
03/2006,5.74658571,69.15599714,4.50193361,1.6808931,1654718.197,3.347455289,232879.969,10.66233011,233513.8663,-17.59713795,267534.3485,14.44484947,-153.4810127,8.1,-41577.92555,-1.578769875
06/2006,5.40589645,69.94481877,5.91906985,1.34143172,1766476.803,4.697275868,275899.4737,13.05966792,236650.3901,-9.408387454,331762.9602,12.7871152,-164.9780754,8.2,-64880.47936,-69.66684958
09/2006,5.12510961,71.64513358,4.70296047,0.80285858,1732144.857,3.664469319,245446.0692,14.93630307,242002.3758,-7.261958,294445.5101,14.01023873,-247.4524752,8.1,-52493.69931,-76.31490246
12/2006,4.30477948,72.56253863,6.01234637,1.94571645,1952559.156,4.571414135,214169.924,8.263382431,336904.7938,17.24964122,332424.0654,11.47698483,177.6244515,7.4,-19517.26516,-28.46589075
03/2007,3.94791602,71.88621783,6.16414743,2.26530356,1721463.909,3.853356206,263396.1769,12.43295848,228143.5869,-2.21910191,312520.5852,15.27828925,306.3368743,7.8,11626.27429,-101.3534968
06/2007,2.60653993,71.7679584,6.84221207,1.14140146,1852434.723,4.402320894,302268.3313,12.31211976,270444.8498,10.0308634,369678.9779,11.40591841,43.28780184,7.4,-49829.43973,-77.11654017
09/2007,2.59402062,73.50362312,6.54676462,1.01546694,1808810.102,4.453491314,239834.2373,-2.130566952,266927.0358,10.92498823,317426.766,7.353517506,60.49514551,7.8,-58573.72926,-52.29560041
12/2007,3.51322163,75.11182143,6.5022605,1.98307504,2064943.618,6.066851395,231713.2095,5.803878124,395464.0438,21.6529359,358969.4336,7.180653993,-62.24463963,6.3,-49467.26369,60.10502766
03/2008,4.36021479,75.02061133,4.1696647,-0.03373621,1812829.454,5.051140835,257820.6103,-2.324758388,314637.1839,32.40346064,316028.8669,1.105225555,-114.2452875,7.4,-59049.64717,120.6614678
06/2008,8.13962708,77.60960258,4.77304439,1.80136789,1908159.888,2.698628904,294099.2755,-3.525502828,388094.632,29.74980509,398936.0765,8.150303594,-157.4079098,8,-85633.11223,72.37851828
09/2008,9.13812802,80.2204783,5.43523947,1.73712491,1874840.315,3.642384129,258554.0758,7.260799859,403136.0347,43.29081427,402399.3127,26.88759021,-182.384182,7.4,-86388.71965,47.10441421
12/2008,6.95826114,80.33829811,3.14363298,-0.2688209,2138751.947,3.868036929,232026.4907,0.106522246,421025.5281,6.586405009,418929.3369,15.02995262,-186.6782693,6.8,-5359.079217,-51.50832818
03/2009,4.61725264,78.48450249,1.11725796,-2.11496781,1850946.019,2.033056599,273082.4461,5.902763552,295999.5658,-4.623158561,354330.2223,9.518245727,-195.9152949,7.7,-65137.017,7.046486925
