date,keyword,CN_00,C_00,L_00,R_00,C_GxP_0,C_BxP_0,MeanTB_00,MeanVADER_00
2010-01-31,PE,2.2432654907850174e-05,357,3,11,0.7640449438202247,0.23595505617977527,0.07022681294740117,0.10211876750700281
2010-01-31,PU+,2.513462734773129e-07,4,0,0,0.0,0.0,0.0,0.19172499999999998
2010-02-28,PE,1.457203010769043e-05,233,2,13,0.7672413793103449,0.2327586206896552,0.11698308447235484,0.15890987124463518
2010-02-28,PU+,1.2508180349948867e-06,20,1,2,0.38461538461538464,0.6153846153846154,-0.01933441555,-0.06665499999999999
2010-03-31,PE,1.4546622222755358e-05,268,4,12,0.7320754716981132,0.2679245283018868,0.1158553889104262,0.16349738805970152
2010-03-31,PU+,2.713922056484208e-07,5,0,2,0.8,0.2,0.16999999999999998,-0.20038
2010-04-30,PE,1.0555240853004197e-05,201,1,8,0.6950000000000001,0.30500000000000005,0.16261043268505954,0.21857562189054727
2010-04-30,PU+,6.30163633015176e-07,12,0,0,0.9166666666666666,0.08333333333333333,0.05405273433333333,0.129425
2010-05-31,PU+,1.7115972696197626e-06,34,0,2,0.5588235294117647,0.44117647058823534,-0.0741755793235294,-0.42499117647058826
2010-05-31,PE,2.07405316200983e-05,412,1,19,0.8083538083538084,0.19164619164619165,0.11941508094117315,0.20328300970873786
2010-06-30,PE,1.555389678936747e-05,328,1,17,0.7763975155279503,0.22360248447204972,0.11116520022183488,0.12332225609756098
2010-06-30,PU+,8.061470896928262e-07,17,0,0,0.5,0.5,0.005748663117647066,-0.01104705882352942
2010-07-31,PE,1.5282426751123907e-05,336,7,21,0.8109756097560976,0.18902439024390244,0.040653511536138,0.19050773809523808
2010-07-31,PU+,3.1838389064841473e-07,7,0,0,0.7142857142857142,0.2857142857142857,0.016369047571428572,-0.055014285714285696
2010-08-31,PE,1.9613790058272178e-05,449,30,517,0.6936936936936936,0.3063063063063063,0.07314240573622531,0.12427661469933184
2010-08-31,PU+,3.887811392396935e-06,89,1,5,0.9523809523809523,0.047619047619047616,0.1902933832808989,0.10634044943820224
2010-09-30,PE,1.2276333425741971e-05,280,7,15,0.7101449275362319,0.28985507246376807,0.11325802958615457,0.10314821428571429
2010-09-30,PU+,1.3591654864214326e-06,31,0,0,0.896551724137931,0.10344827586206898,9.775167741935434e-05,-0.1698
2010-10-31,PU+,2.868004282012336e-07,7,0,0,0.7142857142857143,0.2857142857142857,0.006249999857142863,0.1410857142857143
2010-10-31,PE,1.6388595897213348e-05,400,12,39,0.7229219143576825,0.27707808564231734,0.0934495317038003,0.132045
2010-11-30,PE,2.525517539798608e-05,637,7,28,0.7061611374407583,0.2938388625592417,0.09803358673639284,0.2123811616954474
2010-11-30,PU+,6.739999713748247e-07,17,0,0,0.8,0.2,-0.032107843117647056,0.17777647058823529
2010-12-31,PE,1.640662755151085e-05,461,5,36,0.7768052516411379,0.22319474835886216,0.09909969243618916,0.14118980477223428
2010-12-31,PU+,5.694274204428928e-07,16,0,1,0.5714285714285715,0.4285714285714286,-0.0013780381874999997,-0.16940625
2011-01-31,PE,2.334277776031182e-05,741,15,146,0.7907608695652173,0.2092391304347826,0.0973174080630221,0.16494493927125506
2011-01-31,PU+,7.245396605764803e-07,23,2,2,0.736842105263158,0.26315789473684215,-0.021454451347826083,-0.24808695652173912
2011-02-28,PU+,2.599813671354174e-07,8,0,1,0.75,0.25,-0.06582961300000001,0.1231875
2011-02-28,PE,1.49489286102865e-05,460,12,105,0.7675438596491229,0.2324561403508772,0.08992892727743267,0.11326456521739131
2011-03-31,PU+,1.2784817092149818e-06,48,3,125,0.6363636363636364,0.36363636363636365,-0.007754629500000001,-0.12794166666666665
2011-03-31,PE,1.1506335382934836e-05,432,15,72,0.7494033412887828,0.25059665871121717,0.11183606032492024,0.12841296296296298
2011-04-30,PE,1.088554776281247e-05,425,8,34,0.6895734597156398,0.3104265402843602,0.10506975108225107,0.10706470588235294
2011-04-30,PU+,5.891002318698513e-07,23,0,2,0.30434782608695654,0.6956521739130435,0.11319875773913043,-0.26530000000000004
2011-05-31,PE,2.2201907206467646e-05,957,15,215,0.7303252885624344,0.2696747114375656,0.08104555041099905,0.15476687565308253
