,gdpg
2000/03/01,4.10440272
2000/06/01,5.1441675
2000/09/01,4.04687853
2000/12/01,6.406423
2001/03/01,3.86828268
2001/06/01,5.7699642
2001/09/01,3.44167221
2001/12/01,1.56162512
2002/03/01,3.52007175
2002/06/01,4.21262409
2002/09/01,5.55135621
2002/12/01,4.68366305
2003/03/01,4.90803753
2003/06/01,5.03022323
2003/09/01,4.55970773
2003/12/01,4.63197073
2004/03/01,4.09919846
2004/06/01,4.38775989
2004/09/01,4.49811591
2004/12/01,7.15849567
2005/03/01,5.96496797
2005/06/01,5.87125897
2005/09/01,5.83821298
2005/12/01,5.10662071
2006/03/01,5.12718697
2006/06/01,4.93337519
2006/09/01,5.86400688
2006/12/01,6.05641933
2007/03/01,6.05513715
2007/06/01,6.72679732
2007/09/01,6.74442748
2007/12/01,5.84216118
2008/03/01,6.21835662
2008/06/01,6.30265126
2008/09/01,6.25486504
2008/12/01,5.28250691
2009/03/01,4.5203589
2009/06/01,4.13578398
2009/09/01,4.26925583
2009/12/01,5.60027505
2010/03/01,5.98930228
2010/06/01,6.29488473
2010/09/01,5.80688977
2010/12/01,6.80661957
2011/03/01,6.47696849
2011/06/01,6.26845674
2011/09/01,6.01313755
2011/12/01,5.9424015
2012/03/01,6.11008713
2012/06/01,6.20781116
2012/09/01,5.94003868
2012/12/01,5.87064375
2013/03/01,5.54087072
2013/06/01,5.58822473
2013/09/01,5.51585164
2013/12/01,5.58458974
2014/03/01,5.11589207
2014/06/01,4.93755795
2014/09/01,4.93181183
2014/12/01,5.04765155
2015/03/01,4.83123625
2015/06/01,4.74031452
2015/09/01,4.77949604
2015/12/01,5.15262525
2016/03/01,4.94342088
2016/06/01,5.21465004
2016/09/01,5.03350529
2016/12/01,4.93889559
2017/03/01,5.00836085
2017/06/01,5.01255177
2017/09/01,5.06476333
2017/12/01,5.18974447
2018/03/01,5.06912022
2018/06/01,5.26941663
2018/09/01,5.17319517
2018/12/01,5.18131351
2019/03/01,5.06195728
2019/06/01,5.05257095
2019/09/01,5.00983075
2019/12/01,4.95566527
2020/03/01,2.96538086
2020/06/01,-5.32441871
2020/09/01,-3.48839779
2020/12/01,-2.16721513
2021/03/01,-0.6873627
2021/06/01,7.07777357
2021/09/01,3.52927991
2021/12/01,5.03176396
2022/03/01,5.02460562
2022/06/01,5.45932677
2022/09/01,5.73330388
2022/12/01,5.00929616
