,gdpg
2001/03/01,2.41413663
2001/06/01,3.26818469
2001/09/01,3.11044667
2001/12/01,3.34857026
2002/03/01,3.87654129
2002/06/01,3.6601826
2002/09/01,2.67696315
2002/12/01,4.56511742
2003/03/01,4.61847831
2003/06/01,4.38897416
2003/09/01,5.52190865
2003/12/01,5.73662103
2004/03/01,7.17626299
2004/06/01,7.49290746
2004/09/01,6.25324819
2004/12/01,5.50630906
2005/03/01,5.02058018
2005/06/01,5.65773098
2005/09/01,4.37952201
2005/12/01,4.72440054
2006/03/01,4.50193361
2006/06/01,5.91906985
2006/09/01,4.70296047
2006/12/01,6.01234637
2007/03/01,6.16414743
2007/06/01,6.84221207
2007/09/01,6.54676462
2007/12/01,6.5022605
2008/03/01,4.1696647
2008/06/01,4.77304439
2008/09/01,5.43523947
2008/12/01,3.14363298
2009/03/01,1.11725796
2009/06/01,1.89213049
2009/09/01,0.92787427
2009/12/01,1.78383292
2010/03/01,8.1203488
2010/06/01,7.97492659
2010/09/01,7.0691633
2010/12/01,6.29893618
2011/03/01,4.82701717
2011/06/01,3.5603246
2011/09/01,3.03577819
2011/12/01,4.03491835
2012/03/01,6.04002102
2012/06/01,6.21933593
2012/09/01,7.39951607
2012/12/01,7.84386945
2013/03/01,7.59312935
2013/06/01,7.51242606
2013/09/01,6.70896146
2013/12/01,5.3512482
2014/03/01,5.6988262
2014/06/01,6.93648595
2014/09/01,5.93509368
2014/12/01,6.72760756
2015/03/01,5.24949547
2015/06/01,6.39877806
2015/09/01,6.58740024
2015/12/01,7.04516958
2016/03/01,6.91860691
2016/06/01,7.43951456
2016/09/01,7.32980118
2016/12/01,6.91304725
2017/03/01,6.37413264
2017/06/01,7.17709938
2017/09/01,7.53159638
2017/12/01,6.6412057
2018/03/01,6.45455991
2018/06/01,6.37889505
2018/09/01,6.14597113
2018/12/01,6.38380087
2019/03/01,5.87367921
2019/06/01,5.62539858
2019/09/01,6.32903358
2019/12/01,6.6120921
2020/03/01,-0.65828388
2020/06/01,-16.90721615
2020/09/01,-11.5504286
2020/12/01,-8.22542005
2021/03/01,-3.79996537
2021/06/01,12.1312205
2021/09/01,7.01725299
2021/12/01,7.78982844
2022/03/01,8.15488982
2022/06/01,7.47250674
2022/09/01,7.63593723
2022/12/01,7.22554385
