Region,PH,ID,MY,TH,VN,SG,BN
12/1975,,,,,,6229.0516,
03/1976,,,,,,6104.5410,
06/1976,,,,,,6221.3175,
09/1976,,,,,,6537.1885,
12/1976,,,,,,6662.4648,
03/1977,,,,,,6484.1987,
06/1977,,,,,,6692.0992,
09/1977,,,,,,6954.2147,
12/1977,,,,,,7144.1201,
03/1978,,,,,,6847.4695,
06/1978,,,,,,7106.2156,
09/1978,,,,,,7569.1101,
12/1978,,,,,,7873.0354,
03/1979,,,,,,7499.2739,
06/1979,,,,,,7867.2923,
09/1979,,,,,,8187.3749,
12/1979,,,,,,8650.4991,
03/1980,,,,,,8363.6500,
06/1980,,,,,,8679.2146,
09/1980,,,,,,9033.7558,
12/1980,,,,,,9384.7746,
03/1981,,,,,,9224.0441,
06/1981,,,,,,9673.7678,
09/1981,,,,,,10041.4799,
12/1981,25561.6930,,,,,10357.5805,
03/1982,24178.4307,,,,,10062.3082,
06/1982,25170.3935,,,,,10386.3726,
09/1982,23016.6423,,,,,10688.0773,
12/1982,26977.9298,,,,,10951.0350,
03/1983,25058.5068,,,,,10823.1552,
06/1983,26576.0379,,,,,11217.5918,
09/1983,23469.1645,,,,,11602.0738,
12/1983,26124.1836,,,,,12045.3651,
03/1984,23955.0245,,,,,12003.4021,
06/1984,24980.2239,,,,,12316.6696,
09/1984,20953.0329,,,,,12625.9551,
12/1984,24213.7971,,,,,12759.1952,
03/1985,21445.5581,,,,,12473.8010,
06/1985,22634.5129,,,,,12309.1652,
09/1985,19864.8090,,,,,12333.3629,
12/1985,23703.3231,,,,,12279.3776,
03/1986,21458.8410,,,,,11971.7002,
06/1986,23274.4977,,,,,12318.9668,
09/1986,21405.6624,,,,,12686.7554,
12/1986,24586.2535,,,,,13081.5750,
03/1987,22159.0897,,,,,12936.2360,
06/1987,24151.6822,,,,,13571.6535,
09/1987,22812.6231,,,,,14240.9936,
12/1987,25559.1224,,,,,14715.4509,
03/1988,23444.4562,,,,,14377.5264,
06/1988,24714.5707,,,,,15200.3224,
09/1988,24239.8491,,,,,15837.8840,
12/1988,28624.4642,,,,,16295.8777,
03/1989,24955.9904,,,,,15799.4434,
06/1989,26026.0281,,,,,16936.1960,
09/1989,25571.7696,,,,,17408.3560,
12/1989,30716.7529,,,,,17836.7919,
03/1990,26232.7270,,,,,18013.2202,
06/1990,26944.6844,,,,,18418.5304,
09/1990,26527.9964,,,,,18948.8873,
12/1990,30871.9328,,,,,19276.4742,
03/1991,26267.1936,,22485.6529,,,19168.5803,
06/1991,26635.9310,,22880.1234,,,19621.5201,
09/1991,26023.3450,,25467.9500,,,20327.1567,
12/1991,31168.3224,,25984.1810,,,20533.2194,
03/1992,26842.0359,,24692.3526,,,20257.0142,
06/1992,26574.0617,,25351.1934,,,20678.2520,
09/1992,26122.8609,,27378.5883,,,21687.8138,
12/1992,31015.6215,,27999.0663,,,22316.0333,
03/1993,27081.9950,,26678.0487,,,22072.3724,
06/1993,27259.9921,,28543.6524,,,23227.4262,
09/1993,26811.6260,,30395.9124,,,24182.7731,
12/1993,31813.1461,,30235.7891,50638.7919,,25190.2674,
03/1994,28045.9765,,28832.2080,52060.4022,,25049.4464,
06/1994,28543.2006,,30725.3328,50591.3004,,25627.5094,
09/1994,28209.3684,,33283.9703,50132.0985,,27035.7195,
12/1994,33109.0023,,33683.4446,54138.6394,,27464.7680,
03/1995,29386.2874,,31945.4393,55860.2933,,26366.1497,
06/1995,29746.5963,,34514.0844,55452.3345,,27527.5593,
09/1995,29907.9547,,35896.8162,54375.1698,,29264.7346,
12/1995,34320.1989,,36605.6955,58037.3975,,29565.9032,
03/1996,30907.5147,,35689.9902,57989.9943,,29451.1942,
06/1996,31720.6710,,37488.0418,58983.6076,,29900.4584,
09/1996,31724.7141,,39449.5526,58393.8483,,30502.4892,
12/1996,36237.5235,,40233.4898,61002.5687,,31292.2815,
03/1997,32485.8944,,38414.5888,58216.4615,,31142.1949,
06/1997,33634.5587,,40625.4584,57781.5350,,32731.0449,
09/1997,33215.2148,,42308.4214,56622.5843,,33840.1539,
12/1997,38027.7124,,42706.2278,57240.8120,,33507.8194,
03/1998,33081.7075,,37824.9680,54916.0252,,31611.5983,
06/1998,33346.3421,,38218.6045,50539.5718,,31940.4104,
09/1998,33342.1097,,38006.7747,51022.2987,,32142.7209,
12/1998,36887.0488,,37930.8829,55835.7973,,32651.4071,
03/1999,33368.2771,,37450.5129,55600.1495,,32303.0685,
06/1999,34493.1100,,40050.0151,53273.2883,,33674.1398,
09/1999,34610.3049,,41457.7661,54995.4278,,34726.3538,
12/1999,38758.6827,,42350.9541,58152.4628,,34981.8838,
03/2000,34891.2242,,41827.2174,59441.8826,,35222.4817,
06/2000,36505.5438,,43223.7043,56459.8510,,36437.8000,
09/2000,36075.5172,,45160.7826,56330.9267,,38035.5327,
12/2000,39947.5178,,45099.7878,59680.2668,,38253.3113,
03/2001,35733.5460,,42450.9389,60824.2992,,37135.5493,
06/2001,37698.6124,,43595.5761,58557.6409,,36622.2686,
09/2001,37197.6270,,45002.3928,58379.4596,,36154.0139,
12/2001,41285.1885,,45170.1286,62139.1861,,36452.9618,
03/2002,37118.7717,,43598.5274,63602.8148,,36724.9554,
06/2002,39078.4505,,45651.2009,62286.8245,,38169.0791,
09/2002,38193.3937,,48181.0114,62422.6342,,38544.9080,
12/2002,43169.9058,,48288.2443,66339.8416,,38668.2700,
03/2003,38833.0941,,46335.9172,68445.1790,,38255.8383,
06/2003,40793.5936,,48324.6444,66210.3877,,38070.9102,
09/2003,40302.3980,,50400.4368,66691.3050,,40598.1075,
12/2003,45646.3997,,51408.8194,71612.8510,,42100.5811,
03/2004,41619.8591,,50120.5492,72911.2748,,42211.0785,
06/2004,43850.2198,,52164.8604,70394.0063,,43213.0594,
09/2004,42822.6070,,53608.5691,70456.2396,,44020.3873,
12/2004,48159.8315,,53902.2298,76365.5728,,45388.0127,
03/2005,43709.4175,,52925.8203,75718.8326,,44497.8310,
06/2005,46331.1473,,54084.5729,73443.7883,,45913.4688,
09/2005,44698.0325,,56308.0813,73801.6515,,47757.6191,
12/2005,50435.0949,,56916.6290,79312.2948,,49542.3474,
03/2006,45677.1864,,55906.1643,79890.8432,,49037.8728,
06/2006,49073.5202,,57134.6041,76723.6126,,49942.0677,
09/2006,46800.1633,,59525.8480,77096.7913,,51868.4593,
12/2006,53467.4275,,59967.8756,83581.8483,,53769.5812,
03/2007,48492.7955,,58791.2961,85131.1912,,53236.1613,
06/2007,52431.2346,,60527.3991,80747.1020,,54956.4902,
09/2007,49864.0598,,63358.2397,81308.9225,,57559.2668,
12/2007,56944.0189,,64504.8375,87351.2407,,57325.7137,
03/2008,50514.7825,,63262.2172,87962.4947,,57581.5501,
06/2008,54933.8007,,64536.0347,83592.8825,,56778.4338,
09/2008,52574.2909,,66611.2552,83135.8875,,57513.7048,
12/2008,58734.1298,,64715.9250,85620.3180,,55360.9582,
03/2009,51079.1629,,59620.6009,84199.0608,,53139.6006,
06/2009,55973.2198,,62119.9627,81036.9500,,56112.3864,
09/2009,53062.1142,,65860.9948,82718.7041,,59145.4367,
12/2009,59781.8486,,67601.4490,90006.6140,,59127.9776,
03/2010,55226.9691,,65753.2031,94438.6360,,61794.7707,
06/2010,60437.0430,,67762.6201,88314.7084,,66561.8567,
09/2010,56813.1617,,69663.4652,87490.4490,,65229.0728,
12/2010,63547.4691,180664.8585,71235.5876,93109.8900,47576.4983,66975.8199,
